"title","Movie Rating","Votes","date_added","rating"
"THE LORD OF THE RINGS: THE RETURN OF THE KING",9,"34,709","1-Jan-20","pg-13"
"SCHINDLER'S LIST",9,"34,709","1-Apr-18","r"
"PULP FICTION",8.9,"34,709","1-Jan-19","r"
"INCEPTION",8.8,"34,709","1-Aug-21","pg-13"
"THE LORD OF THE RINGS: THE TWO TOWERS",8.8,"34,709","1-Jan-20","pg-13"
"THE MATRIX",8.7,"34,709","1-Nov-19","r"
"CITY OF GOD",8.6,"34,709","1-Jan-20","r"
"THE INTOUCHABLES",8.5,"34,709","11-Jan-21","r"
"THE DEPARTED",8.5,"34,709","1-Jan-21","r"
"THE PIANIST",8.5,"34,709","1-Apr-21","r"
"AMERICAN HISTORY X",8.5,"34,709","1-Nov-19","r"
"ONCE UPON A TIME IN THE WEST",8.5,"34,709","20-Nov-19","pg-13"
"PSYCHO",8.5,"34,709","1-May-20","tv-ma"
"JOKER",8.4,"34,709","2-Aug-18","tv-pg"
"SPIDER-MAN: INTO THE SPIDER-VERSE",8.4,"34,709","26-Jun-19","pg"
"AVENGERS: INFINITY WAR",8.4,"34,709","25-Dec-18","pg-13"
"DJANGO UNCHAINED",8.4,"34,709","24-Jul-21","r"
"3 IDIOTS",8.4,"34,709","1-Apr-21","pg-13"
"THE LIVES OF OTHERS",8.4,"34,709","15-Mar-19","r"
"AMERICAN BEAUTY",8.4,"34,709","1-Jan-20","r"
"INDIANA JONES AND THE RAIDERS OF THE LOST ARK",8.4,"34,709","1-Jan-19","pg"
"DANGAL",8.3,"34,709","21-Jun-17","tv-pg"
"DRISHYAM",8.3,"34,709","5-Jul-20","tv-14"
"DRISHYAM",8.2,"34,709","5-Jul-20","tv-14"
"THE HUNT",8.3,"34,709","14-May-17","tv-pg"
"A SEPARATION",8.3,"34,709","16-Mar-19","pg-13"
"INGLOURIOUS BASTERDS",8.3,"34,709","22-Jul-19","r"
"ONCE UPON A TIME IN AMERICA",8.3,"34,709","1-Sep-21","r"
"A CLOCKWORK ORANGE",8.3,"34,709","1-Nov-20","r"
"THE APARTMENT",8.3,"34,709"," December 14, 2018","tv-pg"
"ANDHADHUN",8.2,"34,709","16-Dec-18","tv-14"
"PAAN SINGH TOMAR",8.2,"34,709","1-Nov-18","tv-14"
"WARRIOR",8.2,"34,709","13-Nov-18","tv-ma"
"SHUTTER ISLAND",8.2,"34,709","1-Feb-21","r"
"MIRACLE IN CELL NO. 7",8.2,"34,709","13-Mar-20","tv-14"
"ARTICLE 15",8.2,"34,709","6-Sep-19","tv-ma"
"THERE WILL BE BLOOD",8.2,"34,709","1-Mar-20","r"
"PAN'S LABYRINTH",8.2,"34,709","1-Jan-20","r"
"V FOR VENDETTA",8.2,"34,709","1-Oct-18","r"
"KILL BILL: VOL. 1",8.2,"34,709","1-Jan-20","r"
"LOCK, STOCK AND TWO SMOKING BARRELS",8.2,"34,709","1-Jan-19","r"
"INDIANA JONES AND THE LAST CRUSADE",8.2,"34,709","1-Jan-19","pg-13"
"RAGING BULL",8.2,"34,709","1-Oct-19","r"
"TAXI DRIVER",8.2,"34,709","26-Feb-20","tv-ma"
"MONTY PYTHON AND THE HOLY GRAIL",8.2,"34,709","2-Jan-19","pg"
"PINK",8.1,"34,709","20-Jan-17","tv-14"
"KLAUS",8.1,"34,709","15-Nov-19","pg"
"HAIDER",8.1,"34,709","2-Aug-18","tv-ma"
"QUEEN",8.1,"34,709","5-Jul-20","tv-ma"
"ROOM",8.1,"34,709","19-Jul-18","r"
"PK",8.1,"34,709","6-Sep-18","tv-14"
"BARFI!",8.1,"34,709","1-Nov-18","tv-14"
"RUSH",8.1,"34,709","16-Apr-21","r"
"SPOTLIGHT",8.1,"34,709","22-Jul-20","r"
"KAHAANI",8.1,"34,709","26-Jun-19","tv-14"
"UDAAN",8.1,"34,709","1-Oct-18","tv-ma"
"ZINDAGI NA MILEGI DOBARA",8.1,"34,709","15-Dec-19","tv-14"
"THE HELP",8.1,"34,709","1-Jun-20","pg-13"
"A WEDNESDAY",8.1,"34,709","1-Nov-18","tv-ma"
"GRAN TORINO",8.1,"34,709","1-Oct-20","r"
"HACHI: A DOG'S TALE",8.1,"34,709","1-May-21","g"
"INTO THE WILD",8.1,"34,709","1-Jan-21","r"
