"title","date_added","age_rating","IMDB_rating","Votes"
"Dick Johnson Is Dead","25-Sep-21","PG-13",NULL,NULL
"Blood & Water","24-Sep-21","TV-MA",NULL,NULL
"Ganglands","24-Sep-21","TV-MA",NULL,NULL
"Jailbirds New Orleans","24-Sep-21","TV-MA",NULL,NULL
"Kota Factory","24-Sep-21","TV-MA",NULL,NULL
"Midnight Mass","24-Sep-21","TV-MA",NULL,NULL
"My Little Pony: A New Generation","24-Sep-21","PG",NULL,NULL
"Sankofa","24-Sep-21","TV-MA",NULL,NULL
"The Great British Baking Show","24-Sep-21","TV-14",NULL,NULL
"The Starling","24-Sep-21","PG-13",NULL,NULL
"Vendetta: Truth, Lies and The Mafia","24-Sep-21","TV-MA",NULL,NULL
"Bangkok Breaking","23-Sep-21","TV-MA",NULL,NULL
"Je Suis Karl","23-Sep-21","TV-MA",NULL,NULL
"Confessions of an Invisible Girl","22-Sep-21","TV-PG",NULL,NULL
"Crime Stories: India Detectives","22-Sep-21","TV-MA",NULL,NULL
"Dear White People","22-Sep-21","TV-MA",NULL,NULL
"Europe's Most Dangerous Man: Otto Skorzeny in Spain","22-Sep-21","TV-MA",NULL,NULL
"Falsa identidad","22-Sep-21","TV-MA",NULL,NULL
"Intrusion","22-Sep-21","TV-14",NULL,NULL
"Jaguar","22-Sep-21","TV-MA",NULL,NULL
"Monsters Inside: The 24 Faces of Billy Milligan","22-Sep-21","TV-14",NULL,NULL
"Resurrection: Ertugrul","22-Sep-21","TV-14",NULL,NULL
"Avvai Shanmughi","21-Sep-21","TV-PG",NULL,NULL
"Go! Go! Cory Carson: Chrissy Takes the Wheel","21-Sep-21","TV-Y",NULL,NULL
"Jeans","21-Sep-21","TV-14",NULL,NULL
"Love on the Spectrum","21-Sep-21","TV-14",NULL,NULL
"Minsara Kanavu","21-Sep-21","TV-PG",NULL,NULL
"Grown Ups","20-Sep-21","PG-13",NULL,NULL
"Dark Skies","19-Sep-21","PG-13",NULL,NULL
"Paranoia","19-Sep-21","PG-13",NULL,NULL
"Ankahi Kahaniya","17-Sep-21","TV-14",NULL,NULL
"Chicago Party Aunt","17-Sep-21","TV-MA",NULL,NULL
"Sex Education","17-Sep-21","TV-MA",NULL,NULL
"Squid Game","17-Sep-21","TV-MA",NULL,NULL
"Tayo and Little Wizards","17-Sep-21","TV-Y7",NULL,NULL
"The Father Who Moves Mountains","17-Sep-21","TV-MA",NULL,NULL
"The Stronghold","17-Sep-21","TV-MA",NULL,NULL
"Angry Birds","16-Sep-21","TV-Y7",NULL,NULL
"Birth of the Dragon","16-Sep-21","PG-13",NULL,NULL
"Chhota Bheem","16-Sep-21","TV-Y7",NULL,NULL
"He-Man and the Masters of the Universe","16-Sep-21","TV-Y7",NULL,NULL
"Jaws","16-Sep-21","PG",8.1,"34,709"
"Jaws 2","16-Sep-21","PG",NULL,NULL
"Jaws 3","16-Sep-21","PG",NULL,NULL
"Jaws: The Revenge","16-Sep-21","PG-13",NULL,NULL
"My Heroes Were Cowboys","16-Sep-21","PG",NULL,NULL
"Safe House","16-Sep-21","R",NULL,NULL
"The Smart Money Woman","16-Sep-21","TV-MA",NULL,NULL
"Training Day","16-Sep-21","R",7.7,"34,709"
"Castle and Castle","15-Sep-21","TV-MA",NULL,NULL
"Dharmakshetra","15-Sep-21","TV-PG",NULL,NULL
"InuYasha the Movie 2: The Castle Beyond the Looking Glass","15-Sep-21","TV-14",NULL,NULL
"InuYasha the Movie 3: Swords of an Honorable Ruler","15-Sep-21","TV-14",NULL,NULL
"InuYasha the Movie 4: Fire on the Mystic Island","15-Sep-21","TV-PG",NULL,NULL
"InuYasha the Movie: Affections Touching Across Time","15-Sep-21","TV-PG",NULL,NULL
"Nailed It","15-Sep-21","TV-PG",NULL,NULL
"Naruto Shippuden the Movie: Blood Prison","15-Sep-21","TV-14",NULL,NULL
"Naruto Shippûden the Movie: Bonds","15-Sep-21","TV-PG",NULL,NULL
"Naruto Shippûden the Movie: The Will of Fire","15-Sep-21","TV-PG",NULL,NULL
"Naruto Shippuden: The Movie","15-Sep-21","TV-PG",NULL,NULL
